lambda,E_SQD,error_mHa,n_configs,M
0.0000,-7.863075,19.6860,1,1
0.0250,-7.863075,19.6860,1,1
0.0500,-7.877105,5.6567,2,4
0.0750,-7.881463,1.2984,3,9
0.1000,-7.881463,1.2984,4,9
0.1250,-7.881463,1.2984,4,9
0.1500,-7.881463,1.2984,5,9
0.1750,-7.882008,0.7533,6,16
0.2000,-7.881463,1.2984,6,9
0.2250,-7.881463,1.2984,5,9
0.2500,-7.882008,0.7533,7,16
0.2750,-7.881463,1.2984,6,9
0.3000,-7.882537,0.2246,5,25
0.3250,-7.881463,1.2984,6,9
0.3500,-7.882008,0.7533,7,16
0.3750,-7.882008,0.7533,8,16
0.4000,-7.882537,0.2246,8,25
0.4250,-7.882537,0.2246,9,25
0.4500,-7.882008,0.7533,8,16
0.4750,-7.882537,0.2246,8,25
0.5000,-7.882008,0.7533,8,16
